2500
F 0 27.123 10.242 30
F 1 10.035 18.251 33
F 2 27.846 23.845 45
F 3 1.595 2.247 23
F 4 24.884 3.473 73
F 5 25.867 23.786 46
F 6 10.601 0.694 100
F 7 21.612 1.219 22
F 8 18.082 3.506 42
F 9 12.953 17.011 38
F 10 23.195 5.991 85
F 11 11.446 9.892 70
F 12 5.291 14.567 63
F 13 7.538 1.249 50
F 14 11.011 6.161 97
F 15 4.797 3.512 85
F 16 5.491 16.607 84
F 17 6.710 12.569 24
F 18 10.216 23.908 40
F 19 27.228 6.327 35
F 20 3.218 2.001 38
F 21 13.110 24.798 25
F 22 27.677 27.630 50
F 23 28.925 28.308 13
F 24 5.086 0.581 45
F 25 8.597 27.738 94
F 26 25.204 20.762 95
F 27 7.773 24.388 20
F 28 1.680 19.625 25
F 29 8.008 2.945 20
F 30 10.009 29.218 79
F 31 4.807 18.685 40
F 32 2.437 19.598 70
F 33 0.745 25.803 61
F 34 1.326 9.545 79
F 35 29.064 4.298 96
F 36 19.827 3.848 21
F 37 14.214 8.889 89
F 38 3.840 20.641 40
F 39 6.785 12.608 50
F 40 6.003 1.802 58
F 41 24.688 24.215 64
F 42 14.286 29.738 74
F 43 10.089 2.938 15
F 44 19.633 5.062 17
F 45 23.931 12.273 76
F 46 27.780 28.081 50
F 47 6.669 9.092 65
F 48 27.310 27.876 83
F 49 9.917 18.341 60
F 50 11.720 16.813 76
F 51 5.935 25.294 13
F 52 5.674 8.582 87
F 53 8.611 24.306 100
F 54 13.674 10.775 20
F 55 25.947 28.571 27
F 56 24.027 15.430 23
F 57 3.119 22.116 57
F 58 0.996 13.017 47
F 59 19.337 7.757 62
F 60 6.150 9.283 23
F 61 1.444 16.811 15
F 62 10.026 19.027 14
F 63 4.333 5.529 45
F 64 15.108 2.120 66
F 65 13.679 18.344 20
F 66 29.109 28.500 29
F 67 21.225 6.435 14
F 68 4.242 21.039 34
F 69 12.000 2.953 12
F 70 21.283 24.784 42
F 71 8.094 28.335 98
F 72 27.121 7.821 52
F 73 2.650 22.981 23
F 74 4.770 16.752 52
F 75 23.114 24.197 18
F 76 21.614 27.589 97
F 77 28.048 25.008 91
F 78 19.088 25.547 20
F 79 22.041 27.081 48
F 80 16.825 17.952 98
F 81 15.160 14.972 16
F 82 22.981 13.437 25
F 83 15.962 21.928 74
F 84 2.714 4.752 71
F 85 26.911 2.684 82
F 86 24.500 14.295 86
F 87 19.508 25.014 97
F 88 15.055 26.959 71
F 89 12.136 3.145 45
F 90 0.087 21.331 88
F 91 15.060 0.799 32
F 92 28.497 18.362 10
F 93 20.425 3.045 42
F 94 25.177 20.378 20
F 95 27.861 12.481 16
F 96 12.156 27.698 40
F 97 7.170 4.529 21
F 98 4.129 9.408 17
F 99 7.274 3.375 88
F 100 28.605 19.382 73
F 101 29.404 22.214 41
F 102 17.766 10.205 44
F 103 20.811 21.178 49
F 104 11.189 18.113 71
F 105 23.670 17.761 59
F 106 21.368 14.321 77
F 107 25.897 5.380 30
F 108 5.305 15.948 52
F 109 8.679 11.570 64
F 110 28.061 19.328 67
F 111 20.275 27.173 95
F 112 0.480 20.078 26
F 113 21.659 11.480 57
F 114 9.771 23.306 87
F 115 27.532 0.310 33
F 116 11.853 5.176 74
F 117 17.233 22.197 13
F 118 3.181 16.389 29
F 119 14.751 14.710 92
F 120 4.079 20.304 17
F 121 1.253 24.503 28
F 122 21.331 28.107 56
F 123 2.811 19.476 11
F 124 26.117 1.656 16
F 125 26.427 25.024 61
F 126 1.603 12.062 98
F 127 23.800 20.469 30
F 128 10.189 24.771 66
F 129 24.899 4.379 70
F 130 15.203 22.665 82
F 131 9.707 9.013 38
F 132 7.813 15.636 60
F 133 27.289 22.739 55
F 134 28.945 21.501 62
F 135 23.969 0.034 14
F 136 6.031 6.099 52
F 137 26.500 24.018 60
F 138 21.271 29.169 23
F 139 25.650 7.501 73
F 140 18.315 0.584 100
F 141 27.328 27.747 70
F 142 12.964 26.162 16
F 143 5.703 15.909 98
F 144 27.204 8.465 54
F 145 27.239 27.139 52
F 146 3.338 12.240 79
F 147 27.356 28.944 17
F 148 26.525 9.448 13
F 149 4.026 0.141 88
F 150 4.610 15.733 88
F 151 2.357 16.529 90
F 152 28.519 27.030 58
F 153 14.428 15.346 40
F 154 22.893 0.950 53
F 155 20.032 15.499 87
F 156 2.273 24.017 82
F 157 1.217 8.566 37
F 158 10.665 19.616 44
F 159 10.806 21.936 50
F 160 26.540 19.907 61
F 161 13.068 6.193 74
F 162 10.098 19.807 63
F 163 25.444 16.386 97
F 164 26.394 18.668 38
F 165 11.893 18.155 47
F 166 5.910 14.880 37
F 167 14.476 14.943 51
F 168 4.091 12.362 11
F 169 26.028 6.305 21
F 170 15.935 4.275 16
F 171 22.128 6.854 49
F 172 11.935 11.790 90
F 173 28.321 15.245 90
F 174 16.989 3.128 63
F 175 5.143 13.903 54
F 176 20.023 14.712 14
F 177 4.966 17.793 67
F 178 17.328 22.091 91
F 179 23.633 7.054 36
F 180 27.908 2.824 34
F 181 4.762 25.133 73
F 182 16.552 0.510 68
F 183 1.797 15.985 12
F 184 4.925 26.905 45
F 185 18.828 4.218 26
F 186 3.540 23.424 34
F 187 21.333 18.540 66
F 188 13.423 28.131 95
F 189 20.478 11.814 83
F 190 23.301 21.525 15
F 191 18.434 17.170 13
F 192 18.943 4.942 88
F 193 4.929 4.650 74
F 194 1.834 2.679 95
F 195 6.052 17.697 51
F 196 29.476 7.858 33
F 197 18.016 18.042 15
F 198 16.148 3.193 91
F 199 27.962 5.671 28
F 200 19.486 1.783 36
F 201 6.656 25.802 31
F 202 11.598 24.584 51
F 203 16.249 9.918 13
F 204 18.928 27.049 32
F 205 6.625 19.104 35
F 206 14.483 29.987 66
F 207 2.525 14.411 93
F 208 5.718 20.167 44
