100	
F 0 15.113 14.688 89
F 1 10.594 13.483 97
F 2 1.269 29.189 27
F 3 20.014 17.593 71
F 4 10.831 18.608 83
F 5 0.578 2.516 98
F 6 19.540 6.937 46
F 7 3.661 8.053 33
F 8 9.950 4.567 41
F 9 3.650 26.525 18
F 10 27.901 11.971 14
F 11 10.271 22.079 82
F 12 16.347 20.587 90
F 13 1.644 9.110 14
F 14 5.864 21.605 75
F 15 26.334 17.473 16
F 16 27.682 24.011 36
F 17 16.310 29.543 74
F 18 25.169 12.998 52
F 19 16.821 8.073 77
F 20 15.117 19.404 38
F 21 4.162 14.267 43
F 22 23.643 23.409 70
F 23 4.005 0.647 60
F 24 9.025 28.182 98
F 25 8.599 24.025 91
F 26 17.926 26.521 95
F 27 16.475 21.852 62
F 28 0.776 13.396 68
F 29 15.636 11.169 94
F 30 24.886 25.473 44
F 31 17.796 26.177 94
F 32 20.054 6.203 69
F 33 2.162 12.202 70
F 34 28.012 24.329 54
F 35 22.702 12.511 97
F 36 29.639 25.924 45
F 37 13.642 7.401 81
F 38 26.485 27.411 60
F 39 17.966 4.466 91
F 40 13.512 6.170 91
F 41 22.878 26.475 36
F 42 20.197 19.928 21
F 43 12.220 8.259 75
F 44 8.502 26.886 84
F 45 11.701 14.937 73
F 46 25.031 18.289 62
F 47 9.781 13.693 74
F 48 26.532 21.626 12
F 49 20.243 13.155 49
F 50 3.511 24.440 39
F 51 7.387 10.281 44
F 52 16.397 16.858 46
F 53 11.944 15.461 69
F 54 28.527 21.670 46
F 55 24.956 4.030 15
F 56 2.527 4.917 39
F 57 9.052 0.350 59
F 58 2.861 4.395 67
F 59 25.780 29.227 61
F 60 29.906 16.606 56
F 61 9.920 12.900 54
F 62 2.131 26.632 16
F 63 13.086 24.799 46
F 64 18.404 24.559 90
F 65 27.933 5.724 33
F 66 26.936 17.801 55
F 67 18.384 24.583 58
F 68 6.062 13.617 49
F 69 28.982 18.602 73
F 70 21.605 10.407 57
F 71 16.701 4.695 61
F 72 20.844 12.794 85
F 73 21.942 10.801 51
F 74 11.592 23.267 76
F 75 12.908 20.813 95
F 76 23.527 21.167 20
F 77 11.698 17.727 51
F 78 1.510 6.861 85
F 79 0.469 25.911 17
F 80 20.071 15.006 30
F 81 17.148 3.666 70
F 82 17.988 1.679 15
F 83 4.575 0.589 49
F 84 24.967 18.522 57
F 85 25.916 2.931 92
F 86 3.241 15.510 23
F 87 16.781 0.137 79
F 88 25.461 27.505 99
F 89 15.154 8.143 19
F 90 15.235 17.568 79
F 91 2.489 19.848 57
F 92 5.131 28.157 63
F 93 13.219 28.258 69
F 94 13.558 25.191 58
F 95 16.617 20.402 43
F 96 7.179 17.368 88
F 97 12.203 3.378 50
F 98 9.006 12.042 85
F 99 12.109 11.705 42
